"Well","Sample"
"A1","MTBL50001"
"A2","MTBL50097"
"A3","MTBL50009"
"A4","MTBL50105"
"A5","MTBL50017"
"A6","MTBL50113"
"A7","MTBL50025"
"A8","MTBL50121"
"A9","MTBL50033"
"A10","MTBL50129"
"A11","MTBL50041"
"A12","MTBL50137"
"A13","MTBL50049"
"A14","MTBL50145"
"A15","MTBL50057"
"A16","MTBL50153"
"A17","MTBL50065"
"A18","MTBL50161"
"A19","MTBL50073"
"A20","MTBL50169"
"A21","MTBL50081"
"A22","MTBL50177"
"A23","MTBL50089"
"A24","MTBL50185"
"B1","MTBL50289"
"B2","MTBL50193"
"B3","MTBL50297"
"B4","MTBL50201"
"B5","MTBL50305"
"B6","MTBL50209"
"B7","MTBL50313"
"B8","MTBL50217"
"B9","MTBL50321"
"B10","MTBL50225"
"B11","MTBL50329"
"B12","MTBL50233"
"B13","MTBL50337"
"B14","MTBL50241"
"B15","MTBL50345"
"B16","MTBL50249"
"B17","MTBL50353"
"B18","MTBL50257"
"B19","MTBL50361"
"B20","MTBL50265"
"B21","MTBL50369"
"B22","MTBL50273"
"B23","MTBL50377"
"B24","MTBL50281"
"C1","MTBL50002"
"C2","MTBL50098"
"C3","MTBL50010"
"C4","MTBL50106"
"C5","MTBL50018"
"C6","MTBL50114"
"C7","MTBL50026"
"C8","MTBL50122"
"C9","MTBL50034"
"C10","MTBL50130"
"C11","MTBL50042"
"C12","MTBL50138"
"C13","MTBL50050"
"C14","MTBL50146"
"C15","MTBL50058"
"C16","MTBL50154"
"C17","MTBL50066"
"C18","MTBL50162"
"C19","MTBL50074"
"C20","MTBL50170"
"C21","MTBL50082"
"C22","MTBL50178"
"C23","MTBL50090"
"C24","MTBL50186"
"D1","MTBL50290"
"D2","MTBL50194"
"D3","MTBL50298"
"D4","MTBL50202"
"D5","MTBL50306"
"D6","MTBL50210"
"D7","MTBL50314"
"D8","MTBL50218"
"D9","MTBL50322"
"D10","MTBL50226"
"D11","MTBL50330"
"D12","MTBL50234"
"D13","MTBL50338"
"D14","MTBL50242"
"D15","MTBL50346"
"D16","MTBL50250"
"D17","MTBL50354"
"D18","MTBL50258"
"D19","MTBL50362"
"D20","MTBL50266"
"D21","MTBL50370"
"D22","MTBL50274"
"D23","MTBL50378"
"D24","MTBL50282"
"E1","MTBL50003"
"E2","MTBL50099"
"E3","MTBL50011"
"E4","MTBL50107"
"E5","MTBL50019"
"E6","MTBL50115"
"E7","MTBL50027"
"E8","MTBL50123"
"E9","MTBL50035"
"E10","MTBL50131"
"E11","MTBL50043"
"E12","MTBL50139"
"E13","MTBL50051"
"E14","MTBL50147"
"E15","MTBL50059"
"E16","MTBL50155"
"E17","MTBL50067"
"E18","MTBL50163"
"E19","MTBL50075"
"E20","MTBL50171"
"E21","MTBL50083"
"E22","MTBL50179"
"E23","MTBL50091"
"E24","MTBL50187"
"F1","MTBL50291"
"F2","MTBL50195"
"F3","MTBL50299"
"F4","MTBL50203"
"F5","MTBL50307"
"F6","MTBL50211"
"F7","MTBL50315"
"F8","MTBL50219"
"F9","MTBL50323"
"F10","MTBL50227"
"F11","MTBL50331"
"F12","MTBL50235"
"F13","MTBL50339"
"F14","MTBL50243"
"F15","MTBL50347"
"F16","MTBL50251"
"F17","MTBL50355"
"F18","MTBL50259"
"F19","MTBL50363"
"F20","MTBL50267"
"F21","MTBL50371"
"F22","MTBL50275"
"F23","MTBL50379"
"F24","MTBL50283"
"G1","MTBL50004"
"G2","MTBL50100"
"G3","MTBL50012"
"G4","MTBL50108"
"G5","MTBL50020"
"G6","MTBL50116"
"G7","MTBL50028"
"G8","MTBL50124"
"G9","MTBL50036"
"G10","MTBL50132"
"G11","MTBL50044"
"G12","MTBL50140"
"G13","MTBL50052"
"G14","MTBL50148"
"G15","MTBL50060"
"G16","MTBL50156"
"G17","MTBL50068"
"G18","MTBL50164"
"G19","MTBL50076"
"G20","MTBL50172"
"G21","MTBL50084"
"G22","MTBL50180"
"G23","MTBL50092"
"G24","MTBL50188"
"H1","MTBL50292"
"H2","MTBL50196"
"H3","MTBL50300"
"H4","MTBL50204"
"H5","MTBL50308"
"H6","MTBL50212"
"H7","MTBL50316"
"H8","MTBL50220"
"H9","MTBL50324"
"H10","MTBL50228"
"H11","MTBL50332"
"H12","MTBL50236"
"H13","MTBL50340"
"H14","MTBL50244"
"H15","MTBL50348"
"H16","MTBL50252"
"H17","MTBL50356"
"H18","MTBL50260"
"H19","MTBL50364"
"H20","MTBL50268"
"H21","MTBL50372"
"H22","MTBL50276"
"H23","MTBL50380"
"H24","MTBL50284"
"I1","MTBL50005"
"I2","MTBL50101"
"I3","MTBL50013"
"I4","MTBL50109"
"I5","MTBL50021"
"I6","MTBL50117"
"I7","MTBL50029"
"I8","MTBL50125"
"I9","MTBL50037"
"I10","MTBL50133"
"I11","MTBL50045"
"I12","MTBL50141"
"I13","MTBL50053"
"I14","MTBL50149"
"I15","MTBL50061"
"I16","MTBL50157"
"I17","MTBL50069"
"I18","MTBL50165"
"I19","MTBL50077"
"I20","MTBL50173"
"I21","MTBL50085"
"I22","MTBL50181"
"I23","MTBL50093"
"I24","MTBL50189"
"J1","MTBL50293"
"J2","MTBL50197"
"J3","MTBL50301"
"J4","MTBL50205"
"J5","MTBL50309"
"J6","MTBL50213"
"J7","MTBL50317"
"J8","MTBL50221"
"J9","MTBL50325"
"J10","MTBL50229"
"J11","MTBL50333"
"J12","MTBL50237"
"J13","MTBL50341"
"J14","MTBL50245"
"J15","MTBL50349"
"J16","MTBL50253"
"J17","MTBL50357"
"J18","MTBL50261"
"J19","MTBL50365"
"J20","MTBL50269"
"J21","MTBL50373"
"J22","MTBL50277"
"J23","MTBL50381"
"J24","MTBL50285"
"K1","MTBL50006"
"K2","MTBL50102"
"K3","MTBL50014"
"K4","MTBL50110"
"K5","MTBL50022"
"K6","MTBL50118"
"K7","MTBL50030"
"K8","MTBL50126"
"K9","MTBL50038"
"K10","MTBL50134"
"K11","MTBL50046"
"K12","MTBL50142"
"K13","MTBL50054"
"K14","MTBL50150"
"K15","MTBL50062"
